t_s,e_div12_V,e_div3_V,i_ind_fig7_A,i_tot_fig7_A
0.02215,97.1,45.6,-294.9,4700.5
0.02220,97.1,45.6,-294.9,4700.5
0.02225,97.1,45.6,-301.7,4700.5
0.02230,97.1,45.6,-301.7,4647.6
0.02235,97.1,45.6,-301.7,4647.6
0.02240,97.1,45.6,-301.7,4663.2
0.02245,97.1,45.6,-341.7,4647.6
0.02250,97.1,45.6,-341.7,4647.6
0.02255,97.1,45.6,-326.1,4663.2
0.02260,97.1,45.6,-341.7,4678.9
0.02265,97.1,45.6,-341.7,4699.7
0.02270,97.1,45.6,-326.1,4695.9
0.02275,97.1,45.6,-326.1,4695.9
0.02280,97.1,45.6,-310.4,4695.9
0.02285,97.1,45.6,-310.4,4692.1
0.02290,97.1,45.6,-310.4,4692.1
0.02295,97.1,45.6,-308.5,4692.1
0.02300,97.1,45.6,-310.4,4688.3
0.02305,97.1,45.6,-310.4,4684.5
0.02310,97.1,45.6,-308.5,4680.7
0.02315,97.1,45.6,-308.5,4676.8
0.02320,97.1,45.6,-294.7,4673.0
0.02325,97.1,45.6,-308.5,4669.2
0.02330,97.1,45.6,-319.7,4665.4
0.02335,97.1,45.6,-307.3,4661.6
0.02340,97.1,45.6,-319.7,4657.8
0.02345,97.1,45.6,-331.3,4654.0
0.02350,97.1,45.6,-331.3,4650.2
0.02355,97.1,45.6,-331.3,4646.4
0.02360,97.1,45.6,-385.7,4642.6
0.02365,97.1,45.6,-385.7,4638.8
0.02370,97.1,45.6,-370.0,4635.0
0.02375,98.2,46.7,-385.7,4631.1
0.02380,99.6,48.0,-385.7,4627.3
0.02385,100.9,49.4,-370.0,4623.5
0.02390,101.1,49.6,-370.0,4619.7
0.02395,101.1,49.6,-354.3,4615.9
0.02400,101.1,49.6,-354.3,4612.1
0.02405,101.1,49.6,-354.3,4608.3
0.02410,101.1,49.6,-338.6,4608.3
0.02415,101.1,49.6,-338.6,4608.3
0.02420,101.1,49.6,-338.6,4608.3
0.02425,101.1,49.6,-330.8,4604.5
0.02430,101.1,49.6,-330.8,4599.3
0.02435,101.1,49.6,-323.0,4583.1
0.02440,101.1,49.6,-323.0,4583.1
0.02445,101.1,50.0,-330.8,4627.1
0.02450,101.1,51.4,-323.0,4627.1
0.02455,101.1,52.7,-330.8,4627.1
0.02460,101.1,53.5,-367.8,4616.0
0.02465,101.1,53.5,-367.8,4578.9
0.02470,101.1,53.5,-367.8,4616.0
0.02475,101.1,53.5,-400.1,4616.0
0.02480,101.1,53.5,-413.9,4616.0
0.02485,101.1,53.5,-400.1,4616.0
0.02490,101.1,53.5,-411.2,4604.9
0.02495,101.1,53.5,-411.2,4606.7
0.02500,101.1,53.5,-400.1,4606.7
0.02505,101.1,53.5,-400.1,4606.7
0.02510,101.1,53.5,-398.2,4688.1
0.02515,101.1,53.5,-398.2,4686.9
0.02520,101.1,53.5,-398.2,4686.9
0.02525,101.1,53.5,-382.6,4686.9
0.02530,101.1,53.5,-382.6,4685.9
0.02535,101.1,53.5,-366.9,4685.9
0.02540,101.1,53.5,-366.9,4685.9
0.02545,101.1,53.5,-382.6,4684.9
0.02550,101.1,53.5,-366.9,4683.9
0.02555,101.1,53.5,-366.9,4683.0
0.02560,101.1,53.5,-406.9,4682.0
0.02565,101.1,53.5,-406.9,4681.0
0.02570,101.1,53.5,-406.9,4680.0
0.02575,101.1,53.5,-406.9,4679.1
0.02580,101.1,53.5,-413.7,4678.1
0.02585,101.1,53.5,-413.7,4677.1
0.02590,101.1,53.5,-411.3,4676.1
0.02595,101.1,53.5,-447.4,4675.2
0.02600,101.1,53.5,-411.3,4674.2
0.02605,101.1,53.5,-411.3,4673.2
0.02610,101.1,53.5,-411.3,4672.2
0.02615,101.1,53.5,-411.3,4671.3
0.02620,101.1,53.5,-422.4,4670.3
0.02625,101.1,53.5,-422.4,4669.3
0.02630,101.1,53.5,-422.4,4668.3
0.02635,102.1,53.5,-422.4,4667.4
0.02640,103.5,53.5,-396.9,4666.4
0.02645,104.8,53.5,-422.4,4665.4
0.02650,105.1,53.5,-396.9,4664.4
0.02655,105.1,53.5,-396.9,4663.5
0.02660,105.1,53.5,-426.5,4615.8
0.02665,105.1,53.5,-426.5,4585.0
0.02670,105.1,53.5,-404.3,4585.0
0.02675,105.1,53.5,-404.3,4585.0
0.02680,106.5,53.5,-437.3,4583.3
0.02685,107.9,53.5,-437.3,4585.0
0.02690,109.0,53.5,-411.3,4593.6
0.02695,109.0,53.5,-437.3,4593.6
0.02700,109.0,53.5,-411.3,4600.7
0.02705,109.0,53.5,-411.3,4600.7
0.02710,109.0,53.5,-411.3,4604.7
0.02715,109.0,53.5,-411.3,4604.7
0.02720,109.0,53.5,-422.5,4593.6
0.02725,109.0,53.5,-422.5,4616.4
0.02730,109.0,53.5,-422.5,4593.6
0.02735,109.0,53.5,-422.5,4581.3
0.02740,109.0,53.5,-386.8,4581.3
0.02745,109.0,53.5,-422.5,4561.6
0.02750,109.0,53.5,-417.7,4558.2
0.02755,109.0,53.5,-417.7,4554.9
0.02760,109.0,53.5,-427.3,4554.9
0.02765,109.0,53.5,-427.3,4551.6
0.02770,109.0,53.5,-427.3,4551.4
0.02775,109.0,53.5,-427.3,4551.4
0.02780,109.0,53.5,-463.9,4551.4
0.02785,109.0,53.5,-463.9,4548.2
0.02790,109.0,53.5,-448.2,4544.9
0.02795,109.0,53.5,-463.9,4541.6
0.02800,109.0,53.5,-463.9,4538.2
0.02805,109.0,53.5,-448.2,4534.9
0.02810,109.0,53.5,-448.2,4531.6
0.02815,109.0,53.5,-432.5,4528.2
0.02820,109.0,53.5,-433.7,4524.9
0.02825,109.0,53.5,-433.7,4521.6
0.02830,109.0,53.5,-432.5,4518.2
0.02835,109.0,53.5,-432.5,4514.9
0.02840,109.0,53.5,-422.5,4511.6
0.02845,109.0,53.5,-422.5,4508.2
0.02850,109.0,53.5,-433.7,4504.9
0.02855,109.0,53.5,-417.2,4501.6
0.02860,109.0,53.5,-433.7,4498.2
0.02865,109.0,54.2,-463.7,4494.9
0.02870,109.0,55.5,-463.7,4491.6
0.02875,109.0,56.9,-463.7,4488.2
0.02880,109.0,57.5,-502.9,4484.9
0.02885,109.0,57.5,-507.8,4484.9
0.02890,109.0,57.5,-502.9,4484.9
0.02895,110.0,57.5,-507.8,4484.9
0.02900,111.3,57.5,-507.8,4484.9
0.02905,112.7,57.5,-502.9,4490.9
0.02910,113.0,58.6,-502.9,4497.2
0.02915,113.0,59.9,-492.1,4512.8
0.02920,113.0,61.3,-492.1,4512.8
0.02925,113.0,61.4,-476.5,4525.0
0.02930,113.0,61.4,-476.5,4525.0
0.02935,113.0,61.4,-492.1,4512.8
0.02940,113.0,61.4,-476.5,4512.8
0.02945,113.0,61.4,-476.5,4525.0
0.02950,113.0,61.4,-495.6,4524.2
0.02955,113.0,61.4,-495.6,4484.6
0.02960,113.0,61.4,-495.6,4484.6
0.02965,113.0,61.4,-495.6,4513.1
0.02970,113.0,61.4,-519.2,4484.6
0.02975,113.0,61.4,-519.2,4513.1
0.02980,113.0,61.4,-503.0,4524.2
0.02985,113.0,61.4,-536.1,4535.1
0.02990,113.0,61.4,-503.0,4549.2
0.02995,113.0,61.4,-503.0,4549.2
0.03000,113.0,61.4,-503.0,4549.2
0.03005,113.0,61.4,-503.0,4544.9
